Year,Province,District,Total_Deaths_Cum,Injured_Total_Cum,Total_Houses_Damaged,Cropped_Area_Acres,Roads_Damaged_km,Flooded_Area_sqkm,Persons_Affected,Est_Damages_USD_Mn,Rainfall_Actual_mm,Rainfall_Anomaly_pct
2006,Punjab,All (Province Level),263,868,25446,395821,636,2120,1413646,25.7,255,104.0
2006,Punjab,Lahore,8,26,765,11907,19,64,42525,0.8,295,134.1
2006,Punjab,Multan,7,23,702,10912,18,58,38973,0.7,324,200.0
2006,Punjab,Faisalabad,11,36,1022,15902,26,85,56794,1.0,178,29.0
2006,Punjab,Rawalpindi,6,20,554,8618,14,46,30780,0.6,319,139.8
2006,Punjab,Gujranwala,7,23,694,10801,17,58,38575,0.7,195,39.3
2006,Punjab,Sargodha,12,40,1167,18148,29,97,64816,1.2,288,130.4
2006,Punjab,Sialkot,16,53,1515,23561,38,126,84145,1.5,313,122.0
2006,Punjab,Jhang,11,36,1075,16725,27,90,59731,1.1,322,128.4
2006,Punjab,Muzaffargarh,19,63,1819,28290,45,152,101034,1.8,182,29.1
2006,Punjab,Rahim Yar Khan,7,23,671,10431,17,56,37255,0.7,230,69.1
2006,Punjab,Bahawalnagar,14,46,1322,20563,33,110,73438,1.3,232,95.0
2006,Punjab,Bahawalpur,8,26,761,11830,19,63,42251,0.8,193,54.4
2006,Punjab,D.G. Khan,12,40,1187,18467,30,99,65952,1.2,156,19.1
2006,Punjab,Rajanpur,7,23,699,10878,17,58,38851,0.7,382,205.6
2006,Punjab,Mianwali,9,30,895,13924,22,75,49729,0.9,200,77.0
2006,Punjab,Khushab,7,23,671,10438,17,56,37277,0.7,257,104.0
2006,Punjab,Chakwal,6,20,540,8394,13,45,29980,0.5,351,147.2
2006,Punjab,Jhelum,7,23,662,10291,17,55,36752,0.7,189,42.1
2006,Punjab,Kasur,8,26,821,12769,21,68,45603,0.8,158,43.6
2006,Punjab,Sheikhupura,6,20,571,8879,14,48,31709,0.6,209,57.1
2006,Punjab,Gujrat,10,33,978,15221,24,82,54359,1.0,220,57.1
2006,Punjab,Hafizabad,4,13,433,6743,11,36,24082,0.4,287,135.2
2006,Punjab,Narowal,7,23,717,11156,18,60,39842,0.7,288,148.3
2006,Punjab,Layyah,9,30,835,12994,21,70,46406,0.8,371,174.8
2006,Punjab,Bhakkar,17,56,1675,26052,42,140,93043,1.7,251,134.6
2006,Sindh,All (Province Level),181,597,17527,272646,438,1461,973735,17.7,179,6.5
2006,Sindh,Karachi,6,20,535,8318,13,45,29706,0.5,255,71.1
2006,Sindh,Hyderabad,14,46,1343,20891,34,112,74611,1.4,141,-1.4
2006,Sindh,Sukkur,12,40,1133,17625,28,94,62946,1.1,215,41.4
2006,Sindh,Larkana,7,23,722,11238,18,60,40137,0.7,134,-25.6
2006,Sindh,Khairpur,8,26,756,11762,19,63,42008,0.8,165,-7.8
2006,Sindh,Jacobabad,15,50,1430,22246,36,119,79450,1.4,225,46.1
2006,Sindh,Shikarpur,6,20,536,8334,13,45,29765,0.5,204,27.5
2006,Sindh,Kashmore,12,40,1193,18553,30,99,66261,1.2,218,32.1
2006,Sindh,Dadu,10,33,1004,15622,25,84,55793,1.0,202,25.5
2006,Sindh,Jamshoro,14,46,1366,21255,34,114,75911,1.4,137,-19.4
2006,Sindh,Thatta,13,43,1259,19577,31,105,69918,1.3,244,57.4
2006,Sindh,Badin,11,36,1018,15829,25,85,56531,1.0,221,16.9
2006,Sindh,Sanghar,6,20,582,9046,15,48,32306,0.6,155,-18.0
2006,Sindh,Mirpur Khas,17,56,1600,24896,40,133,88914,1.6,159,-14.1
2006,Sindh,Tharparkar,5,16,451,7014,11,38,25049,0.5,220,37.5
2006,Sindh,Umerkot,12,40,1189,18492,30,99,66042,1.2,159,-8.6
2006,Sindh,Matiari,6,20,624,9707,16,52,34668,0.6,111,-40.6
2006,Sindh,Qambar,14,46,1328,20657,33,111,73774,1.3,231,41.7
2006,KPK,All (Province Level),179,591,17316,269357,433,1443,961989,17.5,277,93.7
2006,KPK,Peshawar,6,20,536,8338,13,45,29780,0.5,238,77.6
2006,KPK,Nowshera,14,46,1369,21298,34,114,76064,1.4,262,73.5
2006,KPK,Charsadda,6,20,539,8384,13,45,29943,0.5,385,137.7
2006,KPK,Mardan,12,40,1204,18722,30,100,66863,1.2,401,169.1
2006,KPK,Swat,6,20,542,8426,14,45,30093,0.5,213,37.4
2006,KPK,Malakand,17,56,1673,26022,42,139,92935,1.7,414,220.9
2006,KPK,Dir Upper,8,26,748,11639,19,62,41569,0.8,222,69.5
2006,KPK,Dir Lower,7,23,698,10856,17,58,38771,0.7,232,82.7
2006,KPK,Chitral,14,46,1377,21421,34,115,76504,1.4,304,143.2
2006,KPK,Mansehra,12,40,1174,18262,29,98,65222,1.2,186,42.0
2006,KPK,Abbottabad,10,33,946,14718,24,79,52565,1.0,314,100.0
2006,KPK,Haripur,9,30,906,14086,23,75,50306,0.9,365,143.3
2006,KPK,Swabi,15,50,1439,22378,36,120,79921,1.5,336,127.0
2006,KPK,Buner,10,33,947,14730,24,79,52608,1.0,372,192.9
2006,KPK,Shangla,16,53,1521,23653,38,127,84474,1.5,293,140.2
2006,KPK,Kohistan,10,33,932,14496,23,78,51771,0.9,324,123.4
2006,KPK,Battagram,13,43,1280,19910,32,107,71108,1.3,251,68.5
2006,KPK,Tor Ghar,9,30,846,13167,21,71,47024,0.9,241,58.6
2006,Balochistan,All (Province Level),97,320,9401,146239,235,783,522282,9.5,164,-3.5
2006,Balochistan,Quetta,4,13,428,6651,11,36,23755,0.4,102,-30.1
2006,Balochistan,Khuzdar,7,23,673,10464,17,56,37372,0.7,139,-28.7
2006,Balochistan,Turbat,9,30,849,13210,21,71,47178,0.9,131,-12.1
2006,Balochistan,Gwadar,7,23,674,10484,17,56,37444,0.7,162,-16.1
2006,Balochistan,Lasbela,6,20,587,9131,15,49,32611,0.6,159,-16.3
2006,Balochistan,Mastung,6,20,623,9696,16,52,34628,0.6,226,33.7
2006,Balochistan,Kalat,9,30,872,13565,22,73,48445,0.9,223,21.9
2006,Balochistan,Sibi,9,30,893,13895,22,74,49626,0.9,216,27.8
2006,Balochistan,Nasirabad,5,16,448,6975,11,37,24911,0.5,171,15.5
2006,Balochistan,Jaffarabad,5,16,463,7208,12,39,25742,0.5,100,-32.4
2006,Balochistan,Bolan,5,16,520,8082,13,43,28865,0.5,225,22.3
2006,Balochistan,Zhob,6,20,563,8763,14,47,31295,0.6,119,-30.0
2006,Balochistan,Loralai,3,10,268,4174,7,22,14908,0.3,175,17.4
2006,Balochistan,Dera Bugti,4,13,411,6391,10,34,22826,0.4,182,1.1
2006,Balochistan,Kohlu,4,13,384,5978,10,32,21350,0.4,203,39.0
2006,Balochistan,Jhal Magsi,9,30,869,13511,22,72,48252,0.9,204,10.3
2006,AJK,All (Province Level),52,172,5073,78917,127,423,281848,5.1,243,45.5
2006,AJK,Muzaffarabad,6,20,585,9099,15,49,32498,0.6,159,3.2
2006,AJK,Mirpur,9,30,844,13134,21,70,46908,0.9,186,2.2
2006,AJK,Rawlakot,7,23,647,10067,16,54,35955,0.7,364,90.6
2006,AJK,Kotli,3,10,261,4055,7,22,14482,0.3,202,22.4
2006,AJK,Bagh,5,16,533,8286,13,44,29592,0.5,227,18.8
2006,AJK,Haveli,7,23,676,10511,17,56,37538,0.7,252,35.5
2006,AJK,Neelum,9,30,864,13442,22,72,48006,0.9,192,11.0
2006,AJK,Hattian,10,33,960,14937,24,80,53347,1.0,185,20.1
2006,Gilgit-Baltistan,All (Province Level),31,102,3017,46931,75,251,167611,3.0,196,15.3
2006,Gilgit-Baltistan,Gilgit,3,10,329,5117,8,27,18276,0.3,187,-3.6
2006,Gilgit-Baltistan,Skardu,4,13,374,5816,9,31,20772,0.4,289,72.0
2006,Gilgit-Baltistan,Ghanche,4,13,347,5397,9,29,19276,0.3,264,59.0
2006,Gilgit-Baltistan,Ghizer,2,7,201,3133,5,17,11188,0.2,124,-31.9
2006,Gilgit-Baltistan,Hunza,5,16,518,8052,13,43,28757,0.5,271,74.8
2006,Gilgit-Baltistan,Nagar,5,16,491,7634,12,41,27264,0.5,125,-17.2
2006,Gilgit-Baltistan,Astore,3,10,275,4283,7,23,15298,0.3,144,-26.2
2006,Gilgit-Baltistan,Diamer,5,16,524,8158,13,44,29135,0.5,198,15.8
2006,FATA,All (Province Level),20,66,1948,30305,49,162,108233,2.0,205,28.1
2006,FATA,Khyber,2,7,182,2838,5,15,10134,0.2,205,15.2
2006,FATA,Kurram,5,16,446,6942,11,37,24792,0.5,215,29.5
2006,FATA,Orakzai,5,16,444,6899,11,37,24641,0.5,248,69.9
2006,FATA,Mohmand,2,7,185,2875,5,15,10267,0.2,307,122.5
2006,FATA,Bajaur,4,13,371,5775,9,31,20625,0.4,259,45.5
2006,FATA,North Waziristan,4,13,421,6553,11,35,23404,0.4,270,72.0
2006,FATA,South Waziristan,1,3,126,1959,3,10,6997,0.1,191,23.2
2007,Pakistan (National),All,852,2812,104400,1624000,2610,8700,5800000,106.4,246,61.8
2007,Punjab,All (Province Level),223,736,27310,424818,683,2276,1517208,27.8,276,70.4
2007,Punjab,Lahore,12,40,1506,23432,38,126,83686,1.5,285,105.0
2007,Punjab,Multan,10,33,1204,18725,30,100,66876,1.2,317,81.1
2007,Punjab,Faisalabad,4,13,463,7199,12,39,25710,0.5,167,-1.2
2007,Punjab,Rawalpindi,6,20,772,12002,19,64,42865,0.8,253,76.9
2007,Punjab,Gujranwala,9,30,1042,16212,26,87,57901,1.1,300,96.1
2007,Punjab,Sargodha,6,20,772,12002,19,64,42864,0.8,211,23.4
2007,Punjab,Sialkot,6,20,690,10729,17,57,38318,0.7,229,24.5
2007,Punjab,Jhang,5,16,641,9972,16,53,35613,0.7,402,140.7
2007,Punjab,Muzaffargarh,7,23,830,12905,21,69,46090,0.8,268,49.7
2007,Punjab,Rahim Yar Khan,10,33,1210,18820,30,101,67213,1.2,370,134.2
2007,Punjab,Bahawalnagar,9,30,1094,17014,27,91,60763,1.1,207,19.0
2007,Punjab,Bahawalpur,5,16,621,9656,16,52,34486,0.6,316,92.7
2007,Punjab,D.G. Khan,11,36,1408,21895,35,117,78196,1.4,199,16.4
2007,Punjab,Rajanpur,14,46,1687,26235,42,141,93697,1.7,197,37.8
2007,Punjab,Mianwali,4,13,476,7398,12,40,26422,0.5,388,163.9
2007,Punjab,Khushab,5,16,629,9787,16,52,34953,0.6,182,2.8
2007,Punjab,Chakwal,10,33,1282,19943,32,107,71226,1.3,246,59.7
2007,Punjab,Jhelum,11,36,1315,20462,33,110,73079,1.3,281,99.3
2007,Punjab,Kasur,9,30,1067,16593,27,89,59260,1.1,299,110.6
2007,Punjab,Sheikhupura,12,40,1498,23304,37,125,83229,1.5,396,165.8
2007,Punjab,Gujrat,13,43,1596,24830,40,133,88679,1.6,375,130.1
2007,Punjab,Hafizabad,7,23,820,12753,20,68,45548,0.8,360,109.3
2007,Punjab,Narowal,6,20,707,11000,18,59,39285,0.7,398,141.2
2007,Punjab,Layyah,10,33,1214,18878,30,101,67422,1.2,394,143.2
2007,Punjab,Bhakkar,10,33,1203,18714,30,100,66836,1.2,369,136.5
2007,Sindh,All (Province Level),232,766,28371,441326,709,2364,1576163,28.9,225,77.2
2007,Sindh,Karachi,14,46,1714,26665,43,143,95231,1.7,265,90.6
2007,Sindh,Hyderabad,14,46,1655,25744,41,138,91942,1.7,290,152.2
2007,Sindh,Sukkur,8,26,1013,15759,25,84,56283,1.0,140,23.9
2007,Sindh,Larkana,11,36,1304,20282,33,109,72434,1.3,237,89.6
2007,Sindh,Khairpur,16,53,1924,29924,48,160,106871,2.0,166,50.9
2007,Sindh,Jacobabad,14,46,1731,26926,43,144,96166,1.8,276,90.3
2007,Sindh,Shikarpur,8,26,963,14980,24,80,53501,1.0,275,150.0
2007,Sindh,Kashmore,13,43,1553,24165,39,129,86302,1.6,261,103.9
2007,Sindh,Dadu,10,33,1223,19020,31,102,67929,1.2,209,68.5
2007,Sindh,Jamshoro,6,20,765,11899,19,64,42497,0.8,232,112.8
2007,Sindh,Thatta,11,36,1353,21046,34,113,75165,1.4,137,17.1
2007,Sindh,Badin,10,33,1192,18549,30,99,66246,1.2,246,96.8
2007,Sindh,Sanghar,7,23,917,14261,23,76,50933,0.9,284,125.4
2007,Sindh,Mirpur Khas,20,66,2502,38918,63,208,138993,2.5,328,137.7
2007,Sindh,Tharparkar,12,40,1433,22287,36,119,79598,1.5,143,0.7
2007,Sindh,Umerkot,19,63,2379,37011,59,198,132181,2.4,259,135.5
2007,Sindh,Matiari,14,46,1768,27501,44,147,98219,1.8,143,28.8
2007,Sindh,Qambar,8,26,1028,15995,26,86,57125,1.0,284,134.7
2007,KPK,All (Province Level),179,591,21891,340524,547,1824,1216157,22.3,204,54.5
2007,KPK,Peshawar,5,16,663,10313,17,55,36832,0.7,137,-9.3
2007,KPK,Nowshera,7,23,883,13738,22,74,49065,0.9,145,5.8
2007,KPK,Charsadda,7,23,844,13135,21,70,46909,0.9,269,116.9
2007,KPK,Mardan,15,50,1802,28028,45,150,100099,1.8,243,107.7
2007,KPK,Swat,8,26,1017,15827,25,85,56526,1.0,203,49.3
2007,KPK,Malakand,9,30,1045,16258,26,87,58064,1.1,241,94.4
2007,KPK,Dir Upper,12,40,1469,22853,37,122,81617,1.5,261,100.8
2007,KPK,Dir Lower,9,30,1134,17639,28,94,62997,1.2,222,47.0
2007,KPK,Chitral,7,23,872,13572,22,73,48470,0.9,273,125.6
2007,KPK,Mansehra,11,36,1336,20786,33,111,74235,1.4,216,74.2
2007,KPK,Abbottabad,13,43,1598,24864,40,133,88801,1.6,152,16.9
2007,KPK,Haripur,11,36,1378,21435,34,115,76553,1.4,196,36.1
2007,KPK,Swabi,9,30,1103,17160,28,92,61287,1.1,188,31.5
2007,KPK,Buner,6,20,747,11620,19,62,41501,0.8,160,6.7
2007,KPK,Shangla,10,33,1201,18685,30,100,66731,1.2,305,140.2
2007,KPK,Kohistan,10,33,1243,19332,31,104,69044,1.3,198,41.4
2007,KPK,Battagram,10,33,1190,18505,30,99,66088,1.2,230,75.6
2007,KPK,Tor Ghar,11,36,1338,20812,33,111,74329,1.4,233,67.6
2007,Balochistan,All (Province Level),102,337,12521,194778,313,1043,695636,12.8,185,48.0
2007,Balochistan,Quetta,8,26,1019,15850,25,85,56606,1.0,184,64.3
2007,Balochistan,Khuzdar,5,16,597,9290,15,50,33177,0.6,233,61.8
2007,Balochistan,Turbat,8,26,1042,16202,26,87,57864,1.1,131,7.4
2007,Balochistan,Gwadar,6,20,690,10735,17,58,38340,0.7,171,43.7
2007,Balochistan,Lasbela,5,16,612,9513,15,51,33976,0.6,161,13.4
2007,Balochistan,Mastung,7,23,852,13259,21,71,47355,0.9,245,99.2
2007,Balochistan,Kalat,8,26,959,14917,24,80,53274,1.0,184,37.3
2007,Balochistan,Sibi,5,16,572,8901,14,48,31790,0.6,220,54.9
2007,Balochistan,Nasirabad,4,13,506,7865,13,42,28089,0.5,262,125.9
2007,Balochistan,Jaffarabad,6,20,739,11489,18,62,41033,0.8,192,77.8
2007,Balochistan,Bolan,6,20,765,11898,19,64,42492,0.8,169,20.7
2007,Balochistan,Zhob,9,30,1047,16289,26,87,58174,1.1,120,-1.6
2007,Balochistan,Loralai,5,16,647,10062,16,54,35934,0.7,144,13.4
2007,Balochistan,Dera Bugti,4,13,511,7947,13,43,28382,0.5,136,18.3
2007,Balochistan,Kohlu,5,16,616,9579,15,51,34210,0.6,254,91.0
2007,Balochistan,Jhal Magsi,4,13,444,6905,11,37,24659,0.5,192,71.4
2007,AJK,All (Province Level),51,168,6193,96338,155,516,344064,6.3,243,50.9
2007,AJK,Muzaffarabad,8,26,987,15347,25,82,54812,1.0,157,-10.3
2007,AJK,Mirpur,6,20,742,11538,19,62,41206,0.8,259,76.2
2007,AJK,Rawlakot,5,16,555,8637,14,46,30845,0.6,361,107.5
2007,AJK,Kotli,9,30,1116,17364,28,93,62015,1.1,255,79.6
2007,AJK,Bagh,10,33,1263,19642,32,105,70151,1.3,190,17.3
2007,AJK,Haveli,9,30,1035,16105,26,86,57518,1.1,232,28.2
2007,AJK,Neelum,7,23,891,13861,22,74,49505,0.9,333,84.0
2007,AJK,Hattian,4,13,440,6852,11,37,24472,0.5,341,103.0
2007,Gilgit-Baltistan,All (Province Level),30,99,3654,56843,91,305,203009,3.7,324,90.6
2007,Gilgit-Baltistan,Gilgit,6,20,746,11607,19,62,41455,0.8,379,147.7
2007,Gilgit-Baltistan,Skardu,2,7,243,3773,6,20,13474,0.2,348,92.3
2007,Gilgit-Baltistan,Ghanche,3,10,381,5934,10,32,21193,0.4,433,151.7
2007,Gilgit-Baltistan,Ghizer,5,16,589,9161,15,49,32718,0.6,299,75.9
2007,Gilgit-Baltistan,Hunza,5,16,662,10296,17,55,36772,0.7,224,42.7
2007,Gilgit-Baltistan,Nagar,5,16,622,9678,16,52,34564,0.6,375,131.5
2007,Gilgit-Baltistan,Astore,3,10,402,6251,10,33,22326,0.4,392,143.5
2007,Gilgit-Baltistan,Diamer,4,13,518,8056,13,43,28772,0.5,438,175.5
2007,FATA,All (Province Level),24,79,2949,45874,74,246,163837,3.0,209,68.5
2007,FATA,Khyber,5,16,670,10421,17,56,37217,0.7,274,110.8
2007,FATA,Kurram,3,10,342,5328,9,29,19027,0.3,209,69.9
2007,FATA,Orakzai,4,13,477,7418,12,40,26492,0.5,205,91.6
2007,FATA,Mohmand,4,13,501,7792,13,42,27829,0.5,297,123.3
2007,FATA,Bajaur,4,13,456,7097,11,38,25347,0.5,281,142.2
2007,FATA,North Waziristan,3,10,332,5169,8,28,18461,0.3,171,61.3
2007,FATA,South Waziristan,2,7,296,4598,7,25,16420,0.3,265,147.7
2008,Pakistan (National),All,490,1617,37800,588000,945,3150,2100000,33.6,178,29.0
2008,Punjab,All (Province Level),128,422,9908,154119,248,826,550425,8.8,154,0.0
2008,Punjab,Lahore,7,23,544,8465,14,45,30232,0.5,101,-40.2
2008,Punjab,Multan,8,26,615,9572,15,51,34187,0.5,207,20.3
2008,Punjab,Faisalabad,4,13,311,4839,8,26,17281,0.3,200,25.8
2008,Punjab,Rawalpindi,6,20,473,7358,12,39,26278,0.4,190,33.8
2008,Punjab,Gujranwala,6,20,427,6645,11,36,23732,0.4,224,40.9
2008,Punjab,Sargodha,2,7,193,3001,5,16,10718,0.2,143,-6.5
2008,Punjab,Sialkot,7,23,524,8154,13,44,29120,0.5,159,13.6
2008,Punjab,Jhang,4,13,283,4407,7,24,15741,0.2,93,-34.0
2008,Punjab,Muzaffargarh,7,23,539,8377,13,45,29919,0.5,163,13.2
