Year,Province,District,Rainfall_Actual_mm,Rainfall_Anomaly_pct,Rainfall_Normal_mm,Max_Temp_C,Min_Temp_C,Mean_Temp_C,Flooded_Area_sqkm,Area_Affected_Acres,Persons_Affected,Villages_Affected,Total_Houses_Damaged,Houses_Fully_Damaged,Houses_Partially_Damaged,Schools_Total,Roads_Damaged_km,Bridges_Damaged,Est_Damages_USD_Mn,Damage_Level,Damage_Label,Rainfall_Actual_mm_normalized,Rainfall_Anomaly_pct_normalized,Rainfall_Normal_mm_normalized,Max_Temp_C_normalized,Min_Temp_C_normalized,Mean_Temp_C_normalized,Flooded_Area_sqkm_normalized,Area_Affected_Acres_normalized,Persons_Affected_normalized,Total_Houses_Damaged_normalized,Roads_Damaged_km_normalized,Est_Damages_USD_Mn_normalized
2005,Punjab,D.G. Khan,167,35.8,123,37.6,22.1,29.4,64,22195,42683,58,768,256,512,9,19,0,0.7,0,Low,0.1318840579710145,0.1419473772414949,0.2413793103448276,0.3387096774193549,0.0,0.061224489795917804,0.001232397923106451,0.0012405086026992921,0.0012405202554365607,0.001240805496583155,0.0012122028419422183,4.125015468808008e-05
2005,Punjab,Rajanpur,141,15.6,122,40.0,23.0,30.6,30,10342,19889,27,358,119,239,4,9,0,0.3,0,Low,0.09420289855072464,0.10809451985922576,0.23275862068965517,0.7258064516129029,0.19148936170212738,0.3061224489795919,0.0005454876053094127,0.000549737745431853,0.0005497563931568254,0.0005505337820660675,0.0005387568186409859,1.375005156269336e-05
2005,Punjab,Mianwali,107,-6.1,114,36.3,25.7,32.2,55,18911,36367,49,655,218,436,8,16,0,0.6,0,Low,0.04492753623188406,0.07172783643371879,0.16379310344827586,0.1290322580645156,0.7659574468085103,0.6326530612244903,0.0010505687213366467,0.0010491231732496786,0.0010491161774266104,0.0010505598777040552,0.0010101690349518487,3.43751289067334e-05
2005,Punjab,Khushab,212,91.0,111,40.0,24.2,32.2,72,24933,47948,65,863,288,575,11,22,0,0.8,0,Low,0.19710144927536233,0.23445617563264626,0.13793103448275862,0.7258064516129029,0.44680851063829746,0.6326530612244903,0.0013940238802351657,0.001400074164767819,0.00140007416150407,0.001400746503605407,0.0014142366489325881,4.812518046942677e-05
2005,Punjab,Chakwal,112,0.0,112,37.6,25.3,32.4,65,22372,43023,58,774,258,516,9,19,0,0.7,0,Low,0.05217391304347826,0.08195072900955254,0.14655172413793102,0.3387096774193549,0.6808510638297872,0.6734693877551017,0.0012526011677475404,0.0012508238344327214,0.0012508238315168936,0.001250907033868771,0.0012122028419422183,4.125015468808008e-05
2005,Punjab,Jhelum,156,39.3,112,36.1,23.4,32.8,26,9179,17651,24,318,106,212,4,8,0,0.3,0,Low,0.11594202898550725,0.1478129713423831,0.14655172413793102,0.09677419354838729,0.2765957446808505,0.7551020408163259,0.00046467462674505526,0.0004819602623472304,0.00048193461883981007,0.0004831902001619613,0.00047141221631086266,1.375005156269336e-05
2005,Punjab,Kasur,197,68.4,117,40.4,25.8,30.0,43,14975,28799,39,518,173,346,6,13,0,0.5,0,Low,0.1753623188405797,0.19658119658119663,0.1896551724137931,0.7903225806451607,0.7872340425531914,0.18367346938775486,0.0008081297856435744,0.0008197403930079979,0.0008197706957326104,0.0008199081096824919,0.0008081352279614789,2.7500103125386724e-05
2005,Punjab,Sheikhupura,137,30.5,105,38.5,24.0,29.2,46,15797,30378,41,547,182,365,7,14,0,0.5,0,Low,0.08840579710144927,0.13306519188872132,0.08620689655172414,0.4838709677419353,0.4042553191489359,0.020408163265305694,0.0008687395195668424,0.0008676450285157879,0.0008676217152350979,0.0008687322065629688,0.0008754798302916022,2.7500103125386724e-05
2005,Punjab,Gujrat,130,19.3,109,37.9,25.9,30.0,50,17438,33535,45,604,201,402,7,15,0,0.5,0,Low,0.0782608695652174,0.11429529076587902,0.1206896551724138,0.387096774193548,0.8085106382978718,0.18367346938775486,0.0009495524981311999,0.0009632794650952082,0.0009632934496045427,0.00096469681077632,0.0009428244326217253,2.7500103125386724e-05
2005,Punjab,Hafizabad,130,0.0,130,37.3,24.5,31.5,70,24396,46915,63,844,281,563,10,21,0,0.7,0,Low,0.0782608695652174,0.08195072900955254,0.3017241379310345,0.2903225806451607,0.5106382978723402,0.4897959183673468,0.001353617390952987,0.0013687788006952117,0.001368769473001176,0.0013687583022009566,0.0013468920466024649,4.125015468808008e-05
2005,Punjab,Narowal,216,87.8,115,36.4,22.2,31.4,41,14052,27024,36,486,162,324,6,12,0,0.4,0,Low,0.2028985507246377,0.22909334674040557,0.1724137931034483,0.14516129032258035,0.0212765957446804,0.4693877551020404,0.0007677232963613956,0.0007659496648161607,0.0007659799676661661,0.000766033244159207,0.0007407906256313556,2.0625077344040044e-05
2005,Punjab,Layyah,170,51.8,112,38.7,22.7,31.8,43,15039,28922,39,521,174,347,6,13,0,0.5,0,Low,0.13623188405797101,0.16876152170269818,0.14655172413793102,0.5161290322580647,0.12765957446808468,0.5510204081632654,0.0008081297856435744,0.0008234701943127407,0.0008234981659028484,0.0008249588783252998,0.0008081352279614789,2.7500103125386724e-05
2005,Punjab,Bhakkar,116,0.0,116,36.1,25.7,32.5,58,20131,38714,52,697,232,465,9,17,0,0.6,0,Low,0.057971014492753624,0.08195072900955254,0.1810344827586207,0.09677419354838729,0.7659574468085103,0.693877551020408,0.0011111784552599148,0.0011202225106213377,0.0011202411570164384,0.0011212706387033666,0.0010775136372819718,3.43751289067334e-05
2005,Sindh,All (Province Level),230,43.8,160,38.2,24.1,30.5,974,337567,649168,876,11685,3895,7790,143,292,5,10.3,1,Medium,0.22318840579710145,0.15535444947209653,0.5603448275862069,0.4354838709677422,0.4255319148936171,0.28571428571428553,0.019617350546497766,0.019619803869563954,0.01961982713508582,0.019620552587761315,0.019597279278065864,0.0007012526296973615
2005,Sindh,Karachi,324,95.2,166,37.2,23.4,31.9,40,13774,26488,36,477,159,318,6,12,0,0.4,0,Low,0.35942028985507246,0.2414948885537121,0.6120689655172413,0.2741935483870971,0.2765957446808505,0.5714285714285711,0.0007475200517203063,0.0007497483403986843,0.0007497366830218764,0.0007508809382307831,0.0007407906256313556,2.0625077344040044e-05
2005,Sindh,Hyderabad,299,79.0,167,35.9,22.6,32.6,93,32286,62089,84,1118,373,745,14,28,0,1.0,0,Low,0.32318840579710145,0.21434556728674378,0.6206896551724138,0.0645161290322578,0.10638297872340427,0.7142857142857145,0.0018182920176980422,0.0018285933677955318,0.001828612012539331,0.0018300618382440835,0.0018183042629133276,6.187523203212012e-05
2005,Sindh,Sukkur,159,-5.4,168,35.5,22.6,31.2,42,14639,28152,38,507,169,338,6,13,0,0.5,0,Low,0.12028985507246377,0.07290095525389644,0.6293103448275862,0.0,0.10638297872340427,0.42857142857142827,0.000787926541002485,0.0008001589361580983,0.0008001635965444473,0.0008013886246588627,0.0008081352279614789,2.7500103125386724e-05
2005,Sindh,Larkana,184,8.2,170,36.7,23.3,32.0,70,24391,46905,63,844,281,563,10,21,0,0.7,0,Low,0.1565217391304348,0.09569297804591922,0.646551724137931,0.19354838709677458,0.2553191489361701,0.5918367346938774,0.001353617390952987,0.0013684874099682786,0.001368466426645872,0.0013687583022009566,0.0013468920466024649,4.125015468808008e-05
2005,Sindh,Khairpur,274,68.1,163,36.0,23.5,30.1,75,26077,50149,68,903,301,602,11,23,0,0.8,0,Low,0.28695652173913044,0.19607843137254904,0.5862068965517241,0.08064516129032254,0.2978723404255317,0.20408163265306128,0.0014546336141584338,0.001466744363090096,0.0014667746643064609,0.0014680900855095131,0.0014815812512627112,4.812518046942677e-05
2005,Sindh,Jacobabad,219,22.3,179,38.7,25.2,31.0,52,17912,34447,47,620,207,413,8,16,0,0.6,0,Low,0.2072463768115942,0.11932294285235463,0.7241379310344828,0.5161290322580647,0.659574468085106,0.38775510204081615,0.0009899589874133787,0.0009909033060084593,0.0009909312772082594,0.0009916342435379625,0.0010101690349518487,3.43751289067334e-05
2005,Sindh,Shikarpur,178,4.1,171,36.9,22.1,31.6,58,20105,38664,52,696,232,464,9,17,0,0.6,0,Low,0.14782608695652175,0.08882185352773589,0.6551724137931034,0.2258064516129029,0.0,0.5102040816326532,0.0011111784552599148,0.001118707278841286,0.0011187259252399189,0.001119587049155764,0.0010775136372819718,3.43751289067334e-05
2005,Sindh,Kashmore,335,86.1,180,37.4,22.1,32.7,46,16054,30873,42,556,185,370,7,14,0,0.5,1,Medium,0.3753623188405797,0.22624434389140274,0.7327586206896551,0.3064516129032254,0.0,0.7346938775510209,0.0008687395195668424,0.0008826225118801456,0.0008826225098226415,0.0008838845124913927,0.0008754798302916022,2.7500103125386724e-05
2005,Sindh,Dadu,337,90.4,177,37.0,23.5,32.4,64,22281,42848,58,771,257,514,9,19,0,0.7,1,Medium,0.3782608695652174,0.23345064521535114,0.7068965517241379,0.24193548387096764,0.2978723404255317,0.6734693877551017,0.001232397923106451,0.0012455205232025403,0.0012455205202990753,0.001245856265225963,0.0012122028419422183,4.125015468808008e-05
2005,Sindh,Jamshoro,253,39.8,181,39.0,24.3,29.4,35,12282,23620,32,425,142,283,5,11,0,0.4,0,Low,0.2565217391304348,0.1486509133567957,0.7413793103448276,0.5645161290322578,0.4680851063829786,0.061224489795917804,0.0006465038285148595,0.0006627973474818684,0.0006628229883207146,0.0006633342817554452,0.0006734460233012324,2.0625077344040044e-05
2005,Sindh,Thatta,167,3.7,161,39.9,25.0,31.8,78,27059,52036,70,937,312,624,11,23,0,0.8,0,Low,0.1318840579710145,0.08815149991620581,0.5689655172413793,0.7096774193548382,0.6170212765957445,0.5510204081632654,0.001515243348081702,0.001523973501859743,0.0015239595115523088,0.0015253321301280033,0.0014815812512627112,4.812518046942677e-05
2005,Sindh,Badin,199,13.7,175,39.6,25.5,32.7,60,20650,39711,54,715,238,477,9,18,0,0.6,0,Low,0.1782608695652174,0.10491034020445786,0.6896551724137931,0.6612903225806451,0.7234042553191488,0.7346938775510209,0.0011515849445420934,0.0011504688680769861,0.0011504548786402382,0.0011515752505602145,0.001144858239612095,3.43751289067334e-05
2005,Sindh,Sanghar,303,81.4,167,39.0,25.2,32.6,55,18984,36507,49,657,219,438,8,16,0,0.6,1,Medium,0.3289855072463768,0.2183676889559243,0.6206896551724138,0.5645161290322578,0.659574468085106,0.7142857142857145,0.0010505687213366467,0.0010533774778629008,0.0010533588264008652,0.0010539270567992605,0.0010101690349518487,3.43751289067334e-05
2005,Sindh,Mirpur Khas,157,-4.3,164,35.7,23.9,31.2,42,14542,27966,38,503,168,336,6,13,0,0.4,0,Low,0.11739130434782609,0.07474442768560417,0.5948275862068966,0.032258064516129475,0.38297872340425476,0.42857142857142827,0.000787926541002485,0.0007945059560555976,0.0007945269343357945,0.000794654266468452,0.0008081352279614789,2.0625077344040044e-05
2005,Sindh,Tharparkar,144,4.3,138,39.6,23.4,29.5,45,15554,29912,40,538,179,359,7,13,0,0.5,0,Low,0.09855072463768116,0.08915703033350092,0.3706896551724138,0.6612903225806451,0.2765957446808505,0.08163265306122422,0.0008485362749257531,0.0008534834391868428,0.0008534997550779357,0.000853579900634545,0.0008081352279614789,2.7500103125386724e-05
2005,Sindh,Umerkot,183,10.2,166,35.9,22.2,31.1,64,22276,42839,58,771,257,514,9,19,0,0.7,0,Low,0.15507246376811595,0.09904474610356963,0.6120689655172413,0.0645161290322578,0.0212765957446804,0.40816326530612257,0.001232397923106451,0.0012452291324756073,0.0012452477785793016,0.001245856265225963,0.0012122028419422183,4.125015468808008e-05
2005,Sindh,Matiari,288,57.4,183,38.1,23.3,32.2,61,21125,40625,55,731,244,488,9,18,0,0.6,0,Low,0.3072463768115942,0.17814647226411934,0.7586206896551724,0.41935483870967744,0.2553191489361701,0.6326530612244903,0.0011717881891831828,0.0011781509871356239,0.0011781533155150157,0.0011785126833218568,0.001144858239612095,3.43751289067334e-05
2005,Sindh,Qambar,154,12.4,137,40.3,25.3,31.8,40,13927,26782,36,482,161,321,6,12,0,0.4,0,Low,0.11304347826086956,0.10273169096698509,0.3620689655172414,0.774193548387096,0.6808510638297872,0.5510204081632654,0.0007475200517203063,0.000758664896642835,0.0007586462458678114,0.0007592988859687963,0.0007407906256313556,2.0625077344040044e-05
2005,KPK,All (Province Level),163,33.6,122,37.3,24.1,31.4,817,283246,544704,735,9805,3268,6536,120,245,4,8.7,1,Medium,0.12608695652173912,0.13826043237807945,0.23275862068965517,0.2903225806451607,0.4255319148936171,0.4693877551020404,0.01644544113784674,0.016454076734018136,0.016454083689039042,0.01645540423826833,0.01643208296855007,0.0005912522171958145
2005,KPK,Peshawar,238,81.7,131,38.3,24.4,30.7,46,15846,30473,41,549,183,366,7,14,0,0.5,0,Low,0.23478260869565218,0.21887045416457182,0.3103448275862069,0.4516129032258058,0.48936170212765906,0.3265306122448976,0.0008687395195668424,0.0008705006576397316,0.000870500655610485,0.0008720993856581741,0.0008754798302916022,2.7500103125386724e-05
2005,KPK,Nowshera,209,101.0,104,36.1,22.2,29.2,31,10749,20672,28,372,124,248,5,9,0,0.3,0,Low,0.1927536231884058,0.2512150159208983,0.07758620689655173,0.09677419354838729,0.0212765957446804,0.020408163265305694,0.000565690849950502,0.0005734569506042015,0.0005734849227771216,0.0005741040357325046,0.0005387568186409859,1.375005156269336e-05
2005,KPK,Charsadda,167,56.1,107,38.0,23.9,29.7,69,23936,46030,62,829,276,552,10,21,0,0.7,0,Low,0.1318840579710145,0.17596782302664657,0.10344827586206896,0.4032258064516127,0.38297872340425476,0.12244897959183633,0.0013334141463118977,0.001341970853817373,0.0013419498705567797,0.0013435044589869168,0.0013468920466024649,4.125015468808008e-05
2005,KPK,Mardan,188,48.0,127,35.7,23.5,31.5,40,13800,26539,36,478,159,318,6,12,0,0.4,0,Low,0.16231884057971013,0.16239316239316243,0.27586206896551724,0.032258064516129475,0.2978723404255317,0.4897959183673468,0.0007475200517203063,0.0007512635721787361,0.0007512822194339264,0.0007525645277783857,0.0007407906256313556,2.0625077344040044e-05
2005,KPK,Swat,194,76.4,110,35.9,24.6,29.1,55,19161,36849,50,663,221,442,8,17,0,0.6,0,Low,0.17101449275362318,0.20998826881179827,0.12931034482758622,0.0645161290322578,0.5319148936170214,0.0,0.0010505687213366467,0.00106369270959633,0.0010637230117522588,0.0010640285940848764,0.0010775136372819718,3.43751289067334e-05
2005,KPK,Malakand,182,54.2,118,38.7,23.8,31.2,62,21599,41536,56,748,249,498,9,19,0,0.7,0,Low,0.1536231884057971,0.17278364337187868,0.19827586206896552,0.5161290322580647,0.3617021276595744,0.42857142857142827,0.0011919914338242722,0.001205774828048875,0.001205760838483202,0.001207133705631102,0.0012122028419422183,4.125015468808008e-05
2005,KPK,Dir Upper,239,74.5,137,36.5,22.3,29.4,61,21133,40640,55,732,244,488,9,18,0,0.6,0,Low,0.23623188405797102,0.20680408915703036,0.3620689655172414,0.16129032258064507,0.042553191489361555,0.061224489795917804,0.0011717881891831828,0.0011786172122987167,0.0011786078850479717,0.0011801962728694596,0.001144858239612095,3.43751289067334e-05
2005,KPK,Dir Lower,198,86.8,106,37.1,25.4,29.1,18,6170,11866,16,214,71,142,3,5,0,0.2,0,Low,0.17681159420289855,0.22741746271158036,0.09482758620689655,0.25806451612903236,0.7021276595744675,0.0,0.0003030486696163404,0.0003066013228789334,0.0003066223022964974,0.00030809688721128545,0.00026937840932049294,6.875025781346681e-06
2005,KPK,Chitral,115,-10.9,129,38.6,25.5,31.9,52,17977,34571,47,622,207,415,8,16,0,0.6,0,Low,0.05652173913043478,0.0636835930953578,0.29310344827586204,0.5,0.7234042553191488,0.5714285714285711,0.0009899589874133787,0.0009946913854585887,0.0009946890520140278,0.0009950014226331677,0.0010101690349518487,3.43751289067334e-05
2005,KPK,Mansehra,124,-5.3,131,39.5,26.0,30.7,51,17829,34286,46,617,206,411,8,15,0,0.5,0,Low,0.06956521739130435,0.07306854365677896,0.3103448275862069,0.6451612903225803,0.8297872340425531,0.3265306122448976,0.0009697557427722892,0.000986066219941371,0.0009860522308878664,0.0009865834748951545,0.0009428244326217253,2.7500103125386724e-05
2005,KPK,Abbottabad,148,7.2,138,39.8,23.7,32.0,46,15998,30765,42,554,185,369,7,14,0,0.5,0,Low,0.10434782608695652,0.09401709401709403,0.3706896551724138,0.6935483870967735,0.3404255319148932,0.5918367346938774,0.0008687395195668424,0.0008793589357384957,0.0008793496091853592,0.0008805173333961873,0.0008754798302916022,2.7500103125386724e-05
2005,KPK,Haripur,230,88.5,122,39.6,23.3,32.6,43,15040,28924,39,521,174,347,6,13,0,0.5,0,Low,0.22318840579710145,0.23026646556058325,0.23275862068965517,0.6612903225806451,0.2553191489361701,0.7142857142857145,0.0008081297856435744,0.0008235284724581273,0.0008235587751739092,0.0008249588783252998,0.0008081352279614789,2.7500103125386724e-05
2005,KPK,Swabi,231,115.9,107,37.1,25.8,32.8,29,9886,19011,26,342,114,228,4,9,0,0.3,0,Low,0.2246376811594203,0.2761856879503939,0.10344827586206896,0.25806451612903236,0.7872340425531914,0.7551020408163259,0.0005252843606683233,0.0005231629111355607,0.000523148923161142,0.000523596349304425,0.0005387568186409859,1.375005156269336e-05
2005,KPK,Buner,164,43.9,114,37.1,24.7,32.0,53,18228,35053,47,631,210,421,8,16,0,0.6,0,Low,0.12753623188405797,0.15552203787497906,0.16379310344827586,0.25806451612903236,0.5531914893617017,0.5918367346938774,0.0010101622320544679,0.0010093191999506269,0.0010092958863396765,0.0010101537285615917,0.0010101690349518487,3.43751289067334e-05
2005,KPK,Shangla,111,-9.0,122,35.8,24.2,30.8,69,23856,45877,62,826,275,551,10,21,0,0.7,0,Low,0.050724637681159424,0.06686777275012569,0.23275862068965517,0.04838709677419307,0.44680851063829746,0.346938775510204,0.0013334141463118977,0.0013373086021864445,0.00133731326132063,0.0013384536903441088,0.0013468920466024649,4.125015468808008e-05
2005,KPK,Kohistan,115,5.5,109,39.3,24.5,29.4,57,19883,38237,52,688,229,459,8,17,0,0.6,0,Low,0.05652173913043478,0.09116809116809117,0.1206896551724138,0.6129032258064508,0.5106382978723402,0.061224489795917804,0.0010909752106188254,0.0011057695305654593,0.0011057858458684417,0.0011061183327749427,0.0010775136372819718,3.43751289067334e-05
2005,KPK,Battagram,108,-19.4,134,39.0,22.3,29.3,30,10300,19807,27,357,119,238,4,9,0,0.3,0,Low,0.0463768115942029,0.04943857885034356,0.33620689655172414,0.5645161290322578,0.042553191489361555,0.04081632653061211,0.0005454876053094127,0.0005472900633256156,0.0005472714130433334,0.0005488501925184647,0.0005387568186409859,1.375005156269336e-05
2005,KPK,Tor Ghar,152,14.3,133,40.2,25.9,32.0,62,21629,41594,56,749,250,499,9,19,0,0.7,0,Low,0.11014492753623188,0.10591587062175299,0.3275862068965517,0.7580645161290324,0.8085106382978718,0.5918367346938774,0.0011919914338242722,0.0012075231724104733,0.0012075185073439647,0.0012088172951787047,0.0012122028419422183,4.125015468808008e-05
2005,Balochistan,All (Province Level),150,-5.1,158,38.2,23.8,31.8,485,168234,323527,437,5823,1941,3882,71,146,3,5.1,1,Medium,0.1072463768115942,0.073403720462544,0.5431034482758621,0.4354838709677422,0.3617021276595744,0.5510204081632654,0.009737963917005071,0.009751390676813824,0.009751395316333726,0.009751350659714565,0.00976496733786787,0.00034375128906733403
2005,Balochistan,Quetta,92,-41.4,157,35.8,22.5,29.5,18,6398,12304,17,221,74,148,3,6,0,0.2,0,Low,0.02318840579710145,0.012569130216189042,0.5344827586206896,0.04838709677419307,0.08510638297872311,0.08163265306122422,0.0003030486696163404,0.00031988874002707954,0.00031989573265880873,0.000319882014044504,0.0003367230116506162,6.875025781346681e-06
2005,Balochistan,Khuzdar,169,-6.1,180,37.4,23.1,32.5,40,13867,26668,36,480,160,320,6,12,0,0.4,0,Low,0.13478260869565217,0.07172783643371879,0.7327586206896551,0.3064516129032254,0.21276595744680854,0.693877551020408,0.0007475200517203063,0.0007551682079196386,0.0007551915174173468,0.0007559317068735911,0.0007407906256313556,2.0625077344040044e-05
2005,Balochistan,Turbat,92,-48.9,180,35.7,25.6,31.1,28,9723,18698,25,337,112,224,4,8,0,0.3,0,Low,0.02318840579710145,0.0,0.7327586206896551,0.032258064516129475,0.7446808510638299,0.40816326530612257,0.0005050811160272339,0.000513663573437544,0.0005136635722401296,0.0005151784015664117,0.00047141221631086266,1.375005156269336e-05
2005,Balochistan,Gwadar,165,-8.3,180,38.1,24.5,31.8,34,11684,22469,30,404,135,270,5,10,0,0.4,0,Low,0.1289855072463768,0.06804089157030334,0.7327586206896551,0.41935483870967744,0.5106382978723402,0.5510204081632654,0.0006263005838737702,0.000627947016540678,0.0006279423528252345,0.0006279789012557895,0.0006061014209711092,2.0625077344040044e-05
2005,Balochistan,Lasbela,169,-4.5,177,35.7,23.1,32.8,31,10805,20778,28,374,125,249,5,9,0,0.3,0,Low,0.13478260869565217,0.07440925087983911,0.7068965517241379,0.032258064516129475,0.21276595744680854,0.7551020408163259,0.000565690849950502,0.0005767205267458515,0.0005766972141433431,0.0005774712148277098,0.0005387568186409859,1.375005156269336e-05
2005,Balochistan,Mastung,174,18.4,147,36.4,23.9,30.4,41,14229,27364,37,493,164,328,6,12,0,0.4,0,Low,0.14202898550724638,0.11278699513993633,0.4482758620689655,0.14516129032258035,0.38297872340425476,0.2653061224489791,0.0007677232963613956,0.0007762648965495899,0.000776283543746499,0.0007778183709924256,0.0007407906256313556,2.0625077344040044e-05
2005,Balochistan,Kalat,222,22.7,181,39.0,24.1,30.2,25,8507,16360,22,294,98,196,4,7,0,0.3,0,Low,0.21159420289855072,0.11999329646388471,0.7413793103448276,0.5645161290322578,0.4255319148936171,0.22448979591836699,0.0004444713821039659,0.0004427973486474313,0.0004428113343700751,0.00044278405101949765,0.00040406761398073944,1.375005156269336e-05
2005,Balochistan,Sibi,112,-36.7,177,39.6,25.8,31.9,44,15345,29510,40,531,177,354,6,13,0,0.5,0,Low,0.05217391304347826,0.0204457851516675,0.7068965517241379,0.6612903225806451,0.7872340425531914,0.5714285714285711,0.0008283330302846637,0.0008413033068010421,0.0008413172915947184,0.0008417947738013264,0.0008081352279614789,2.7500103125386724e-05
