Year,Province,District,Rainfall_Actual_mm,Rainfall_Anomaly_pct,Flooded_Area_sqkm,Persons_Affected,Persons_in_Camps,Medical_Camps,Persons_Rescued,Total_Houses_Damaged,Roads_Damaged_km,Est_Damages_USD_Mn,Max_Temp_C,Min_Temp_C,Mean_Temp_C,Total_Deaths_Cum,Fatality_Category,Fatality_Label
2005,Sindh,Dadu,337,90.4,64,42848,1285,0,257,771,19,0.7,37.0,23.5,32.4,10,1,Category_1_Low_1to50
2005,Sindh,Jamshoro,253,39.8,35,23620,709,0,142,425,11,0.4,39.0,24.3,29.4,5,1,Category_1_Low_1to50
2005,Sindh,Thatta,167,3.7,78,52036,1561,0,312,937,23,0.8,39.9,25.0,31.8,12,1,Category_1_Low_1to50
2005,Sindh,Badin,199,13.7,60,39711,1191,0,238,715,18,0.6,39.6,25.5,32.7,9,1,Category_1_Low_1to50
2005,Sindh,Sanghar,303,81.4,55,36507,1095,0,219,657,16,0.6,39.0,25.2,32.6,8,1,Category_1_Low_1to50
2005,Sindh,Mirpur Khas,157,-4.3,42,27966,839,0,168,503,13,0.4,35.7,23.9,31.2,6,1,Category_1_Low_1to50
2005,Sindh,Tharparkar,144,4.3,45,29912,897,0,179,538,13,0.5,39.6,23.4,29.5,7,1,Category_1_Low_1to50
2005,Sindh,Umerkot,183,10.2,64,42839,1285,0,257,771,19,0.7,35.9,22.2,31.1,10,1,Category_1_Low_1to50
2005,Sindh,Matiari,288,57.4,61,40625,1219,0,244,731,18,0.6,38.1,23.3,32.2,9,1,Category_1_Low_1to50
2005,Sindh,Qambar,154,12.4,40,26782,803,0,161,482,12,0.4,40.3,25.3,31.8,6,1,Category_1_Low_1to50
2005,KPK,All (Province Level),163,33.6,817,544704,16341,1,3268,9805,245,8.7,37.3,24.1,31.4,121,2,Category_2_Critical
2005,KPK,Peshawar,238,81.7,46,30473,914,0,183,549,14,0.5,38.3,24.4,30.7,7,1,Category_1_Low_1to50
2005,KPK,Nowshera,209,101.0,31,20672,620,0,124,372,9,0.3,36.1,22.2,29.2,5,1,Category_1_Low_1to50
2005,KPK,Charsadda,167,56.1,69,46030,1381,0,276,829,21,0.7,38.0,23.9,29.7,10,1,Category_1_Low_1to50
2005,KPK,Mardan,188,48.0,40,26539,796,0,159,478,12,0.4,35.7,23.5,31.5,6,1,Category_1_Low_1to50
2005,KPK,Swat,194,76.4,55,36849,1105,0,221,663,17,0.6,35.9,24.6,29.1,8,1,Category_1_Low_1to50
2005,KPK,Malakand,182,54.2,62,41536,1246,0,249,748,19,0.7,38.7,23.8,31.2,9,1,Category_1_Low_1to50
2005,KPK,Dir Upper,239,74.5,61,40640,1219,0,244,732,18,0.6,36.5,22.3,29.4,9,1,Category_1_Low_1to50
2005,KPK,Dir Lower,198,86.8,18,11866,356,0,71,214,5,0.2,37.1,25.4,29.1,3,1,Category_1_Low_1to50
2005,KPK,Chitral,115,-10.9,52,34571,1037,0,207,622,16,0.6,38.6,25.5,31.9,8,1,Category_1_Low_1to50
2005,KPK,Mansehra,124,-5.3,51,34286,1029,0,206,617,15,0.5,39.5,26.0,30.7,8,1,Category_1_Low_1to50
2005,KPK,Abbottabad,148,7.2,46,30765,923,0,185,554,14,0.5,39.8,23.7,32.0,7,1,Category_1_Low_1to50
2005,KPK,Haripur,230,88.5,43,28924,868,0,174,521,13,0.5,39.6,23.3,32.6,6,1,Category_1_Low_1to50
2005,KPK,Swabi,231,115.9,29,19011,570,0,114,342,9,0.3,37.1,25.8,32.8,4,1,Category_1_Low_1to50
2005,KPK,Buner,164,43.9,53,35053,1052,0,210,631,16,0.6,37.1,24.7,32.0,8,1,Category_1_Low_1to50
2005,KPK,Shangla,111,-9.0,69,45877,1376,0,275,826,21,0.7,35.8,24.2,30.8,10,1,Category_1_Low_1to50
2005,KPK,Kohistan,115,5.5,57,38237,1147,0,229,688,17,0.6,39.3,24.5,29.4,8,1,Category_1_Low_1to50
2005,KPK,Battagram,108,-19.4,30,19807,594,0,119,357,9,0.3,39.0,22.3,29.3,4,1,Category_1_Low_1to50
2005,KPK,Tor Ghar,152,14.3,62,41594,1248,0,250,749,19,0.7,40.2,25.9,32.0,9,1,Category_1_Low_1to50
2005,Balochistan,All (Province Level),150,-5.1,485,323527,9706,1,1941,5823,146,5.1,38.2,23.8,31.8,72,2,Category_2_Critical
2005,Balochistan,Quetta,92,-41.4,18,12304,369,0,74,221,6,0.2,35.8,22.5,29.5,3,1,Category_1_Low_1to50
2005,Balochistan,Khuzdar,169,-6.1,40,26668,800,0,160,480,12,0.4,37.4,23.1,32.5,6,1,Category_1_Low_1to50
2005,Balochistan,Turbat,92,-48.9,28,18698,561,0,112,337,8,0.3,35.7,25.6,31.1,4,1,Category_1_Low_1to50
2005,Balochistan,Gwadar,165,-8.3,34,22469,674,0,135,404,10,0.4,38.1,24.5,31.8,5,1,Category_1_Low_1to50
2005,Balochistan,Lasbela,169,-4.5,31,20778,623,0,125,374,9,0.3,35.7,23.1,32.8,5,1,Category_1_Low_1to50
2005,Balochistan,Mastung,174,18.4,41,27364,821,0,164,493,12,0.4,36.4,23.9,30.4,6,1,Category_1_Low_1to50
2005,Balochistan,Kalat,222,22.7,25,16360,491,0,98,294,7,0.3,39.0,24.1,30.2,4,1,Category_1_Low_1to50
2005,Balochistan,Sibi,112,-36.7,44,29510,885,0,177,531,13,0.5,39.6,25.8,31.9,7,1,Category_1_Low_1to50
2005,Balochistan,Nasirabad,216,23.4,32,21409,642,0,128,385,10,0.3,35.7,22.1,30.5,5,1,Category_1_Low_1to50
2005,Balochistan,Jaffarabad,110,-32.1,51,34248,1027,0,205,616,15,0.5,37.4,25.9,32.4,8,1,Category_1_Low_1to50
2005,Balochistan,Bolan,146,-0.7,40,26553,797,0,159,478,12,0.4,35.8,25.5,32.3,6,1,Category_1_Low_1to50
2005,Balochistan,Zhob,165,-3.5,59,39361,1181,0,236,708,18,0.6,40.2,25.4,30.0,9,1,Category_1_Low_1to50
2005,Balochistan,Loralai,219,34.4,22,14944,448,0,90,269,7,0.2,36.6,24.7,31.5,3,1,Category_1_Low_1to50
2005,Balochistan,Dera Bugti,181,13.8,20,13329,400,0,80,240,6,0.2,39.4,24.1,32.4,3,1,Category_1_Low_1to50
2005,Balochistan,Kohlu,208,35.9,33,22048,661,0,132,397,10,0.3,36.2,22.1,32.0,5,1,Category_1_Low_1to50
2005,Balochistan,Jhal Magsi,119,-15.6,38,25427,763,0,153,458,11,0.4,35.6,23.4,31.4,6,1,Category_1_Low_1to50
2005,AJK,All (Province Level),199,20.6,244,162569,4877,1,975,2926,73,2.6,37.5,24.0,31.6,36,1,Category_1_Low_1to50
2005,AJK,Muzaffarabad,274,46.5,29,19553,587,0,117,352,9,0.3,36.2,25.7,31.0,4,1,Category_1_Low_1to50
2005,AJK,Mirpur,295,78.8,23,15031,451,0,90,271,7,0.2,37.1,24.5,30.0,3,1,Category_1_Low_1to50
2005,AJK,Rawlakot,142,-4.1,14,9096,273,0,55,164,4,0.1,36.2,24.6,29.7,2,1,Category_1_Low_1to50
2005,AJK,Kotli,204,17.9,32,21276,638,0,128,383,10,0.3,36.4,22.8,29.2,5,1,Category_1_Low_1to50
2005,AJK,Bagh,151,4.1,18,11788,354,0,71,212,5,0.2,36.1,23.8,29.8,3,1,Category_1_Low_1to50
2005,AJK,Haveli,243,71.1,26,17599,528,0,106,317,8,0.3,39.5,24.5,29.3,4,1,Category_1_Low_1to50
2005,AJK,Neelum,130,-15.6,52,34961,1049,0,210,629,16,0.6,39.5,25.0,29.7,8,1,Category_1_Low_1to50
2005,AJK,Hattian,206,20.5,20,13295,399,0,80,239,6,0.2,37.3,23.9,32.0,3,1,Category_1_Low_1to50
2005,Gilgit-Baltistan,All (Province Level),174,13.0,145,96433,2893,1,579,1736,43,1.5,39.2,24.0,31.1,21,1,Category_1_Low_1to50
2005,Gilgit-Baltistan,Gilgit,188,32.4,11,7088,213,0,43,128,3,0.1,36.8,23.5,29.1,2,1,Category_1_Low_1to50
2005,Gilgit-Baltistan,Skardu,156,14.7,12,8194,246,0,49,147,4,0.1,40.0,24.4,31.7,2,1,Category_1_Low_1to50
2005,Gilgit-Baltistan,Ghanche,118,-24.4,23,15525,466,0,93,279,7,0.2,38.4,25.0,30.7,3,1,Category_1_Low_1to50
2005,Gilgit-Baltistan,Ghizer,161,0.0,10,6583,197,0,39,118,3,0.1,38.4,23.4,32.9,1,1,Category_1_Low_1to50
2005,Gilgit-Baltistan,Hunza,120,-13.0,17,11228,337,0,67,202,5,0.2,36.7,22.6,29.7,2,1,Category_1_Low_1to50
2005,Gilgit-Baltistan,Nagar,245,81.5,11,7609,228,0,46,137,3,0.1,38.1,23.6,32.9,2,1,Category_1_Low_1to50
2005,Gilgit-Baltistan,Astore,256,49.7,10,6925,208,0,42,125,3,0.1,39.6,23.0,29.7,2,1,Category_1_Low_1to50
2005,Gilgit-Baltistan,Diamer,192,22.3,27,17716,531,0,106,319,8,0.3,36.9,25.1,29.7,4,1,Category_1_Low_1to50
2005,FATA,All (Province Level),198,39.4,119,79557,2387,1,477,1432,36,1.3,37.2,23.2,31.2,18,1,Category_1_Low_1to50
2005,FATA,Khyber,146,3.5,14,9400,282,0,56,169,4,0.1,38.2,22.2,30.3,2,1,Category_1_Low_1to50
2005,FATA,Kurram,295,120.1,8,5321,160,0,32,96,2,0.1,39.5,23.0,31.7,1,1,Category_1_Low_1to50
2005,FATA,Orakzai,203,47.1,23,15145,454,0,91,273,7,0.2,37.2,25.7,32.3,3,1,Category_1_Low_1to50
2005,FATA,Mohmand,249,54.7,19,12897,387,0,77,232,6,0.2,36.4,22.3,32.0,3,1,Category_1_Low_1to50
2005,FATA,Bajaur,144,-7.1,22,14716,441,0,88,265,7,0.2,36.5,22.7,29.7,3,1,Category_1_Low_1to50
2005,FATA,North Waziristan,212,55.9,25,16421,493,0,99,296,7,0.3,39.9,23.6,32.3,4,1,Category_1_Low_1to50
2005,FATA,South Waziristan,201,50.0,15,9885,297,0,59,178,4,0.2,39.2,24.0,29.9,2,1,Category_1_Low_1to50
2006,Pakistan (National),All,224,51.4,6300,4200000,126000,6,25200,75600,1890,76.4,38.3,24.0,31.1,782,2,Category_2_Critical
2006,Punjab,All (Province Level),255,104.0,2120,1413646,42409,2,8482,25446,636,25.7,39.4,24.3,30.7,263,2,Category_2_Critical
2006,Punjab,Lahore,295,134.1,64,42525,1276,0,255,765,19,0.8,40.0,25.2,29.7,8,1,Category_1_Low_1to50
2006,Punjab,Multan,324,200.0,58,38973,1169,0,234,702,18,0.7,38.4,25.1,32.6,7,1,Category_1_Low_1to50
2006,Punjab,Faisalabad,178,29.0,85,56794,1704,0,341,1022,26,1.0,36.2,23.6,32.2,11,1,Category_1_Low_1to50
2006,Punjab,Rawalpindi,319,139.8,46,30780,923,0,185,554,14,0.6,38.8,24.8,31.2,6,1,Category_1_Low_1to50
2006,Punjab,Gujranwala,195,39.3,58,38575,1157,0,231,694,17,0.7,38.5,23.6,30.9,7,1,Category_1_Low_1to50
2006,Punjab,Sargodha,288,130.4,97,64816,1944,0,389,1167,29,1.2,38.6,22.1,32.5,12,1,Category_1_Low_1to50
2006,Punjab,Sialkot,313,122.0,126,84145,2524,0,505,1515,38,1.5,39.1,22.7,31.4,16,1,Category_1_Low_1to50
2006,Punjab,Jhang,322,128.4,90,59731,1792,0,358,1075,27,1.1,40.2,23.8,29.5,11,1,Category_1_Low_1to50
2006,Punjab,Muzaffargarh,182,29.1,152,101034,3031,0,606,1819,45,1.8,39.9,24.1,31.4,19,1,Category_1_Low_1to50
2006,Punjab,Rahim Yar Khan,230,69.1,56,37255,1118,0,224,671,17,0.7,35.6,23.4,30.6,7,1,Category_1_Low_1to50
2006,Punjab,Bahawalnagar,232,95.0,110,73438,2203,0,441,1322,33,1.3,39.2,23.8,29.9,14,1,Category_1_Low_1to50
2006,Punjab,Bahawalpur,193,54.4,63,42251,1268,0,254,761,19,0.8,37.7,25.7,30.5,8,1,Category_1_Low_1to50
2006,Punjab,D.G. Khan,156,19.1,99,65952,1979,0,396,1187,30,1.2,36.5,25.9,29.6,12,1,Category_1_Low_1to50
2006,Punjab,Rajanpur,382,205.6,58,38851,1166,0,233,699,17,0.7,38.5,22.3,32.0,7,1,Category_1_Low_1to50
2006,Punjab,Mianwali,200,77.0,75,49729,1492,0,298,895,22,0.9,35.7,23.9,31.3,9,1,Category_1_Low_1to50
2006,Punjab,Khushab,257,104.0,56,37277,1118,0,224,671,17,0.7,37.8,23.6,31.3,7,1,Category_1_Low_1to50
2006,Punjab,Chakwal,351,147.2,45,29980,899,0,180,540,13,0.5,37.4,23.1,31.6,6,1,Category_1_Low_1to50
2006,Punjab,Jhelum,189,42.1,55,36752,1103,0,221,662,17,0.7,38.9,22.1,29.9,7,1,Category_1_Low_1to50
2006,Punjab,Kasur,158,43.6,68,45603,1368,0,274,821,21,0.8,39.6,22.8,31.7,8,1,Category_1_Low_1to50
2006,Punjab,Sheikhupura,209,57.1,48,31709,951,0,190,571,14,0.6,39.8,25.4,30.6,6,1,Category_1_Low_1to50
2006,Punjab,Gujrat,220,57.1,82,54359,1631,0,326,978,24,1.0,35.6,22.4,29.9,10,1,Category_1_Low_1to50
2006,Punjab,Hafizabad,287,135.2,36,24082,722,0,144,433,11,0.4,40.0,25.3,30.4,4,1,Category_1_Low_1to50
2006,Punjab,Narowal,288,148.3,60,39842,1195,0,239,717,18,0.7,38.7,23.7,31.3,7,1,Category_1_Low_1to50
2006,Punjab,Layyah,371,174.8,70,46406,1392,0,278,835,21,0.8,36.3,25.5,31.0,9,1,Category_1_Low_1to50
2006,Punjab,Bhakkar,251,134.6,140,93043,2791,0,558,1675,42,1.7,36.9,24.2,31.6,17,1,Category_1_Low_1to50
2006,Sindh,All (Province Level),179,6.5,1461,973735,29212,1,5842,17527,438,17.7,39.5,24.1,30.4,181,2,Category_2_Critical
2006,Sindh,Karachi,255,71.1,45,29706,891,0,178,535,13,0.5,38.4,23.1,31.3,6,1,Category_1_Low_1to50
2006,Sindh,Hyderabad,141,-1.4,112,74611,2238,0,448,1343,34,1.4,36.2,25.6,32.5,14,1,Category_1_Low_1to50
2006,Sindh,Sukkur,215,41.4,94,62946,1888,0,378,1133,28,1.1,40.1,23.7,30.6,12,1,Category_1_Low_1to50
2006,Sindh,Larkana,134,-25.6,60,40137,1204,0,241,722,18,0.7,36.0,24.5,30.0,7,1,Category_1_Low_1to50
2006,Sindh,Khairpur,165,-7.8,63,42008,1260,0,252,756,19,0.8,37.0,24.3,31.0,8,1,Category_1_Low_1to50
2006,Sindh,Jacobabad,225,46.1,119,79450,2384,0,477,1430,36,1.4,35.7,23.1,31.4,15,1,Category_1_Low_1to50
2006,Sindh,Shikarpur,204,27.5,45,29765,893,0,179,536,13,0.5,39.4,22.5,29.4,6,1,Category_1_Low_1to50
2006,Sindh,Kashmore,218,32.1,99,66261,1988,0,398,1193,30,1.2,36.8,25.3,32.2,12,1,Category_1_Low_1to50
2006,Sindh,Dadu,202,25.5,84,55793,1674,0,335,1004,25,1.0,36.0,25.7,29.6,10,1,Category_1_Low_1to50
2006,Sindh,Jamshoro,137,-19.4,114,75911,2277,0,455,1366,34,1.4,39.9,25.0,32.3,14,1,Category_1_Low_1to50
2006,Sindh,Thatta,244,57.4,105,69918,2098,0,420,1259,31,1.3,38.0,22.9,33.0,13,1,Category_1_Low_1to50
2006,Sindh,Badin,221,16.9,85,56531,1696,0,339,1018,25,1.0,36.5,24.3,32.7,11,1,Category_1_Low_1to50
2006,Sindh,Sanghar,155,-18.0,48,32306,969,0,194,582,15,0.6,40.4,25.8,30.9,6,1,Category_1_Low_1to50
2006,Sindh,Mirpur Khas,159,-14.1,133,88914,2667,0,533,1600,40,1.6,35.7,24.4,30.0,17,1,Category_1_Low_1to50
2006,Sindh,Tharparkar,220,37.5,38,25049,751,0,150,451,11,0.5,39.2,22.3,30.3,5,1,Category_1_Low_1to50
2006,Sindh,Umerkot,159,-8.6,99,66042,1981,0,396,1189,30,1.2,40.0,24.5,30.0,12,1,Category_1_Low_1to50
2006,Sindh,Matiari,111,-40.6,52,34668,1040,0,208,624,16,0.6,38.2,25.8,32.2,6,1,Category_1_Low_1to50
2006,Sindh,Qambar,231,41.7,111,73774,2213,0,443,1328,33,1.3,38.0,24.6,32.5,14,1,Category_1_Low_1to50
2006,KPK,All (Province Level),277,93.7,1443,961989,28860,1,5772,17316,433,17.5,37.8,24.5,30.5,179,2,Category_2_Critical
2006,KPK,Peshawar,238,77.6,45,29780,893,0,179,536,13,0.5,36.7,22.2,29.1,6,1,Category_1_Low_1to50
2006,KPK,Nowshera,262,73.5,114,76064,2282,0,456,1369,34,1.4,36.7,25.8,32.2,14,1,Category_1_Low_1to50
2006,KPK,Charsadda,385,137.7,45,29943,898,0,180,539,13,0.5,37.9,24.5,29.7,6,1,Category_1_Low_1to50
2006,KPK,Mardan,401,169.1,100,66863,2006,0,401,1204,30,1.2,38.6,24.1,30.0,12,1,Category_1_Low_1to50
2006,KPK,Swat,213,37.4,45,30093,903,0,181,542,14,0.5,37.3,22.3,32.9,6,1,Category_1_Low_1to50
2006,KPK,Malakand,414,220.9,139,92935,2788,0,558,1673,42,1.7,37.5,25.1,31.8,17,1,Category_1_Low_1to50
2006,KPK,Dir Upper,222,69.5,62,41569,1247,0,249,748,19,0.8,38.2,24.4,31.4,8,1,Category_1_Low_1to50
2006,KPK,Dir Lower,232,82.7,58,38771,1163,0,233,698,17,0.7,40.0,25.9,32.5,7,1,Category_1_Low_1to50
2006,KPK,Chitral,304,143.2,115,76504,2295,0,459,1377,34,1.4,37.6,23.5,30.1,14,1,Category_1_Low_1to50
2006,KPK,Mansehra,186,42.0,98,65222,1957,0,391,1174,29,1.2,39.0,22.3,32.5,12,1,Category_1_Low_1to50
2006,KPK,Abbottabad,314,100.0,79,52565,1577,0,315,946,24,1.0,37.3,24.8,31.3,10,1,Category_1_Low_1to50
2006,KPK,Haripur,365,143.3,75,50306,1509,0,302,906,23,0.9,39.8,25.5,31.9,9,1,Category_1_Low_1to50
2006,KPK,Swabi,336,127.0,120,79921,2398,0,480,1439,36,1.5,39.3,22.7,32.6,15,1,Category_1_Low_1to50
2006,KPK,Buner,372,192.9,79,52608,1578,0,316,947,24,1.0,37.2,25.0,29.7,10,1,Category_1_Low_1to50
2006,KPK,Shangla,293,140.2,127,84474,2534,0,507,1521,38,1.5,37.0,24.5,33.0,16,1,Category_1_Low_1to50
2006,KPK,Kohistan,324,123.4,78,51771,1553,0,311,932,23,0.9,39.5,22.5,32.1,10,1,Category_1_Low_1to50
2006,KPK,Battagram,251,68.5,107,71108,2133,0,427,1280,32,1.3,40.2,22.5,32.8,13,1,Category_1_Low_1to50
2006,KPK,Tor Ghar,241,58.6,71,47024,1411,0,282,846,21,0.9,35.9,24.4,30.4,9,1,Category_1_Low_1to50
2006,Balochistan,All (Province Level),164,-3.5,783,522282,15668,1,3134,9401,235,9.5,39.5,25.0,31.5,97,2,Category_2_Critical
2006,Balochistan,Quetta,102,-30.1,36,23755,713,0,143,428,11,0.4,37.2,24.0,32.1,4,1,Category_1_Low_1to50
2006,Balochistan,Khuzdar,139,-28.7,56,37372,1121,0,224,673,17,0.7,37.7,23.8,29.7,7,1,Category_1_Low_1to50
2006,Balochistan,Turbat,131,-12.1,71,47178,1415,0,283,849,21,0.9,39.0,24.7,30.1,9,1,Category_1_Low_1to50
2006,Balochistan,Gwadar,162,-16.1,56,37444,1123,0,225,674,17,0.7,37.7,24.6,30.6,7,1,Category_1_Low_1to50
2006,Balochistan,Lasbela,159,-16.3,49,32611,978,0,196,587,15,0.6,36.7,22.9,29.2,6,1,Category_1_Low_1to50
2006,Balochistan,Mastung,226,33.7,52,34628,1039,0,208,623,16,0.6,40.4,22.8,32.5,6,1,Category_1_Low_1to50
2006,Balochistan,Kalat,223,21.9,73,48445,1453,0,291,872,22,0.9,38.7,22.6,29.2,9,1,Category_1_Low_1to50
2006,Balochistan,Sibi,216,27.8,74,49626,1489,0,298,893,22,0.9,36.1,22.5,31.8,9,1,Category_1_Low_1to50
2006,Balochistan,Nasirabad,171,15.5,37,24911,747,0,149,448,11,0.5,38.5,23.1,32.2,5,1,Category_1_Low_1to50
2006,Balochistan,Jaffarabad,100,-32.4,39,25742,772,0,154,463,12,0.5,37.5,24.0,31.5,5,1,Category_1_Low_1to50
2006,Balochistan,Bolan,225,22.3,43,28865,866,0,173,520,13,0.5,35.8,24.0,29.5,5,1,Category_1_Low_1to50
2006,Balochistan,Zhob,119,-30.0,47,31295,939,0,188,563,14,0.6,38.7,24.8,31.3,6,1,Category_1_Low_1to50
2006,Balochistan,Loralai,175,17.4,22,14908,447,0,89,268,7,0.3,37.3,22.2,29.4,3,1,Category_1_Low_1to50
2006,Balochistan,Dera Bugti,182,1.1,34,22826,685,0,137,411,10,0.4,39.6,22.8,29.7,4,1,Category_1_Low_1to50
2006,Balochistan,Kohlu,203,39.0,32,21350,640,0,128,384,10,0.4,40.2,22.2,31.2,4,1,Category_1_Low_1to50
2006,Balochistan,Jhal Magsi,204,10.3,72,48252,1448,0,290,869,22,0.9,37.3,25.3,29.4,9,1,Category_1_Low_1to50
2006,AJK,All (Province Level),243,45.5,423,281848,8455,1,1691,5073,127,5.1,37.9,24.3,31.1,52,2,Category_2_Critical
2006,AJK,Muzaffarabad,159,3.2,49,32498,975,0,195,585,15,0.6,36.4,25.5,29.9,6,1,Category_1_Low_1to50
2006,AJK,Mirpur,186,2.2,70,46908,1407,0,281,844,21,0.9,38.9,24.0,31.3,9,1,Category_1_Low_1to50
2006,AJK,Rawlakot,364,90.6,54,35955,1079,0,216,647,16,0.7,38.8,22.8,31.8,7,1,Category_1_Low_1to50
2006,AJK,Kotli,202,22.4,22,14482,434,0,87,261,7,0.3,39.9,24.9,32.0,3,1,Category_1_Low_1to50
2006,AJK,Bagh,227,18.8,44,29592,888,0,178,533,13,0.5,35.8,25.5,31.4,5,1,Category_1_Low_1to50
2006,AJK,Haveli,252,35.5,56,37538,1126,0,225,676,17,0.7,40.1,23.7,30.2,7,1,Category_1_Low_1to50
2006,AJK,Neelum,192,11.0,72,48006,1440,0,288,864,22,0.9,38.7,25.0,29.6,9,1,Category_1_Low_1to50
2006,AJK,Hattian,185,20.1,80,53347,1600,0,320,960,24,1.0,40.4,22.8,32.5,10,1,Category_1_Low_1to50
2006,Gilgit-Baltistan,All (Province Level),196,15.3,251,167611,5028,1,1006,3017,75,3.0,37.9,24.1,30.8,31,1,Category_1_Low_1to50
